nepali_date,english_date,n_month,n_year
2062-11-06,2006-02-18,falgun,2062
2062-11-07,2006-02-19,falgun,2062
2062-11-08,2006-02-20,falgun,2062
2062-11-09,2006-02-21,falgun,2062
2062-11-10,2006-02-22,falgun,2062
2062-11-11,2006-02-23,falgun,2062
2062-11-12,2006-02-24,falgun,2062
2062-11-13,2006-02-25,falgun,2062
2062-11-14,2006-02-26,falgun,2062
2062-11-15,2006-02-27,falgun,2062
2062-11-16,2006-02-28,falgun,2062
2062-11-17,2006-03-01,falgun,2062
2062-11-18,2006-03-02,falgun,2062
2062-11-19,2006-03-03,falgun,2062
2062-11-20,2006-03-04,falgun,2062
2062-11-21,2006-03-05,falgun,2062
2062-11-22,2006-03-06,falgun,2062
2062-11-23,2006-03-07,falgun,2062
2062-11-24,2006-03-08,falgun,2062
2062-11-25,2006-03-09,falgun,2062
2062-11-26,2006-03-10,falgun,2062
2062-11-27,2006-03-11,falgun,2062
2062-11-28,2006-03-12,falgun,2062
2062-11-29,2006-03-13,falgun,2062
2062-12-01,2006-03-14,chaitra,2062
2062-12-02,2006-03-15,chaitra,2062
2062-12-03,2006-03-16,chaitra,2062
2062-12-04,2006-03-17,chaitra,2062
2062-12-05,2006-03-18,chaitra,2062
2062-12-06,2006-03-19,chaitra,2062
2062-12-07,2006-03-20,chaitra,2062
2062-12-08,2006-03-21,chaitra,2062
2062-12-09,2006-03-22,chaitra,2062
2062-12-10,2006-03-23,chaitra,2062
2062-12-11,2006-03-24,chaitra,2062
2062-12-12,2006-03-25,chaitra,2062
2062-12-13,2006-03-26,chaitra,2062
2062-12-14,2006-03-27,chaitra,2062
2062-12-15,2006-03-28,chaitra,2062
2062-12-16,2006-03-29,chaitra,2062
2062-12-17,2006-03-30,chaitra,2062
2062-12-18,2006-03-31,chaitra,2062
2062-12-19,2006-04-01,chaitra,2062
2062-12-20,2006-04-02,chaitra,2062
2062-12-21,2006-04-03,chaitra,2062
2062-12-22,2006-04-04,chaitra,2062
2062-12-23,2006-04-05,chaitra,2062
2062-12-24,2006-04-06,chaitra,2062
2062-12-25,2006-04-07,chaitra,2062
2062-12-26,2006-04-08,chaitra,2062
2062-12-27,2006-04-09,chaitra,2062
2062-12-28,2006-04-10,chaitra,2062
2062-12-29,2006-04-11,chaitra,2062
2062-12-30,2006-04-12,chaitra,2062
2062-12-31,2006-04-13,chaitra,2062
2063-01-01,2006-04-14,baisakh,2063
2063-01-02,2006-04-15,baisakh,2063
2063-01-03,2006-04-16,baisakh,2063
2063-01-04,2006-04-17,baisakh,2063
2063-01-05,2006-04-18,baisakh,2063
2063-01-06,2006-04-19,baisakh,2063
2063-01-07,2006-04-20,baisakh,2063
2063-01-08,2006-04-21,baisakh,2063
2063-01-09,2006-04-22,baisakh,2063
2063-01-10,2006-04-23,baisakh,2063
2063-01-11,2006-04-24,baisakh,2063
